Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Variable O&M cost,Levelized cost of electrcity (LCOE)
10%,"1,688",15,25,0.110,0.009,0.0000,153.1
10%,"1,688",15,30,0.106,0.009,0.0000,147.8
10%,"1,688",20,25,0.110,0.009,0.0000,114.8
10%,"1,688",20,30,0.106,0.009,0.0000,110.9
10%,"1,688",30,25,0.110,0.009,0.0000,76.5
10%,"1,688",30,30,0.106,0.009,0.0000,73.9
10%,"1,153",15,25,0.110,0.009,0.0000,104.6
10%,"1,153",15,30,0.106,0.009,0.0000,101.0
10%,"1,153",20,25,0.110,0.009,0.0000,78.4
10%,"1,153",20,30,0.106,0.009,0.0000,75.7
10%,"1,153",30,25,0.110,0.009,0.0000,52.3
10%,"1,153",30,30,0.106,0.009,0.0000,50.5
10%,618,15,25,0.110,0.009,0.0000,56.0
10%,618,15,30,0.106,0.009,0.0000,54.1
10%,618,20,25,0.110,0.009,0.0000,42.0
10%,618,20,30,0.106,0.009,0.0000,40.6
10%,618,30,25,0.110,0.009,0.0000,28.0
10%,618,30,30,0.106,0.009,0.0000,27.1
6%,"1,688",15,25,0.078,0.009,0.0000,112.0
6%,"1,688",15,30,0.073,0.009,0.0000,104.9
6%,"1,688",20,25,0.078,0.009,0.0000,84.0
6%,"1,688",20,30,0.073,0.009,0.0000,78.7
6%,"1,688",30,25,0.078,0.009,0.0000,56.0
6%,"1,688",30,30,0.073,0.009,0.0000,52.4
6%,"1,153",15,25,0.078,0.009,0.0000,76.5
6%,"1,153",15,30,0.073,0.009,0.0000,71.6
6%,"1,153",20,25,0.078,0.009,0.0000,57.4
6%,"1,153",20,30,0.073,0.009,0.0000,53.7
6%,"1,153",30,25,0.078,0.009,0.0000,38.3
6%,"1,153",30,30,0.073,0.009,0.0000,35.8
6%,618,15,25,0.078,0.009,0.0000,41.0
6%,618,15,30,0.073,0.009,0.0000,38.4
6%,618,20,25,0.078,0.009,0.0000,30.8
6%,618,20,30,0.073,0.009,0.0000,28.8
6%,618,30,25,0.078,0.009,0.0000,20.5
6%,618,30,30,0.073,0.009,0.0000,19.2
4%,"1,688",15,25,0.064,0.009,0.0000,93.8
4%,"1,688",15,30,0.058,0.009,0.0000,85.8
4%,"1,688",20,25,0.064,0.009,0.0000,70.3
4%,"1,688",20,30,0.058,0.009,0.0000,64.4
4%,"1,688",30,25,0.064,0.009,0.0000,46.9
4%,"1,688",30,30,0.058,0.009,0.0000,42.9
4%,"1,153",15,25,0.064,0.009,0.0000,64.1
4%,"1,153",15,30,0.058,0.009,0.0000,58.6
4%,"1,153",20,25,0.064,0.009,0.0000,48.0
4%,"1,153",20,30,0.058,0.009,0.0000,44.0
4%,"1,153",30,25,0.064,0.009,0.0000,32.0
4%,"1,153",30,30,0.058,0.009,0.0000,29.3
4%,618,15,25,0.064,0.009,0.0000,34.3
4%,618,15,30,0.058,0.009,0.0000,31.4
4%,618,20,25,0.064,0.009,0.0000,25.8
4%,618,20,30,0.058,0.009,0.0000,23.6
4%,618,30,25,0.064,0.009,0.0000,17.2
4%,618,30,30,0.058,0.009,0.0000,15.7
10%,"1,688",15,25,0.110,0.012,0.0000,157.3
10%,"1,688",15,30,0.106,0.012,0.0000,152.1
10%,"1,688",20,25,0.110,0.012,0.0000,118.0
10%,"1,688",20,30,0.106,0.012,0.0000,114.1
10%,"1,688",30,25,0.110,0.012,0.0000,78.7
10%,"1,688",30,30,0.106,0.012,0.0000,76.0
10%,"1,153",15,25,0.110,0.012,0.0000,107.5
10%,"1,153",15,30,0.106,0.012,0.0000,103.9
10%,"1,153",20,25,0.110,0.012,0.0000,80.6
10%,"1,153",20,30,0.106,0.012,0.0000,77.9
10%,"1,153",30,25,0.110,0.012,0.0000,53.7
10%,"1,153",30,30,0.106,0.012,0.0000,51.9
10%,618,15,25,0.110,0.012,0.0000,57.6
10%,618,15,30,0.106,0.012,0.0000,55.7
10%,618,20,25,0.110,0.012,0.0000,43.2
10%,618,20,30,0.106,0.012,0.0000,41.8
10%,618,30,25,0.110,0.012,0.0000,28.8
10%,618,30,30,0.106,0.012,0.0000,27.8
6%,"1,688",15,25,0.078,0.012,0.0000,116.3
6%,"1,688",15,30,0.073,0.012,0.0000,109.1
6%,"1,688",20,25,0.078,0.012,0.0000,87.2
6%,"1,688",20,30,0.073,0.012,0.0000,81.8
6%,"1,688",30,25,0.078,0.012,0.0000,58.1
6%,"1,688",30,30,0.073,0.012,0.0000,54.6
6%,"1,153",15,25,0.078,0.012,0.0000,79.4
6%,"1,153",15,30,0.073,0.012,0.0000,74.5
6%,"1,153",20,25,0.078,0.012,0.0000,59.6
6%,"1,153",20,30,0.073,0.012,0.0000,55.9
6%,"1,153",30,25,0.078,0.012,0.0000,39.7
6%,"1,153",30,30,0.073,0.012,0.0000,37.3
6%,618,15,25,0.078,0.012,0.0000,42.6
6%,618,15,30,0.073,0.012,0.0000,40.0
6%,618,20,25,0.078,0.012,0.0000,31.9
6%,618,20,30,0.073,0.012,0.0000,30.0
6%,618,30,25,0.078,0.012,0.0000,21.3
6%,618,30,30,0.073,0.012,0.0000,20.0
4%,"1,688",15,25,0.064,0.012,0.0000,98.0
4%,"1,688",15,30,0.058,0.012,0.0000,90.1
4%,"1,688",20,25,0.064,0.012,0.0000,73.5
4%,"1,688",20,30,0.058,0.012,0.0000,67.6
4%,"1,688",30,25,0.064,0.012,0.0000,49.0
4%,"1,688",30,30,0.058,0.012,0.0000,45.0
4%,"1,153",15,25,0.064,0.012,0.0000,67.0
4%,"1,153",15,30,0.058,0.012,0.0000,61.5
4%,"1,153",20,25,0.064,0.012,0.0000,50.2
4%,"1,153",20,30,0.058,0.012,0.0000,46.2
4%,"1,153",30,25,0.064,0.012,0.0000,33.5
4%,"1,153",30,30,0.058,0.012,0.0000,30.8
4%,618,15,25,0.064,0.012,0.0000,35.9
4%,618,15,30,0.058,0.012,0.0000,33.0
4%,618,20,25,0.064,0.012,0.0000,26.9
4%,618,20,30,0.058,0.012,0.0000,24.7
4%,618,30,25,0.064,0.012,0.0000,17.9
4%,618,30,30,0.058,0.012,0.0000,16.5
